OID_,x,y
65,-78.6772690,35.7374420
66,-78.6769104,35.7374344
67,-78.6769104,35.7374229
68,-78.6772690,35.7374306
69,-78.6772690,35.7374153
70,-78.6769028,35.7374077
71,-78.6769028,35.7373924
72,-78.6772690,35.7374039
73,-78.6772690,35.7373924
74,-78.6769104,35.7373810
75,-78.6769028,35.7373695
76,-78.6772690,35.7373772
77,-78.6772690,35.7373695
78,-78.6769104,35.7373619
79,-78.6769104,35.7373543
80,-78.6772690,35.7373581
81,-78.6772690,35.7373505
82,-78.6769104,35.7373428
83,-78.6769104,35.7373352
84,-78.6772690,35.7373428
85,-78.6772766,35.7373314
86,-78.6769104,35.7373276
87,-78.6769104,35.7373199
88,-78.6772766,35.7373238
89,-78.6772766,35.7373161
90,-78.6769104,35.7373085
91,-78.6769104,35.7373009
92,-78.6772766,35.7373085
93,-78.6772766,35.7372971
94,-78.6769104,35.7372932
95,-78.6769104,35.7372818
96,-78.6772766,35.7372894
97,-78.6772766,35.7372818
98,-78.6769104,35.7372742
99,-78.6769104,35.7372665
100,-78.6772766,35.7372742
101,-78.6772766,35.7372627
102,-78.6769104,35.7372589
103,-78.6769104,35.7372475
104,-78.6772766,35.7372551
105,-78.6772766,35.7372513
106,-78.6769104,35.7372398
107,-78.6769104,35.7372322
108,-78.6772842,35.7372398
109,-78.6772842,35.7372322
110,-78.6769104,35.7372246
111,-78.6769104,35.7372169
112,-78.6772842,35.7372246
113,-78.6772842,35.7372169
114,-78.6769104,35.7372093
115,-78.6769104,35.7372017
116,-78.6772842,35.7372055
117,-78.6772842,35.7371979
118,-78.6769104,35.7371902
119,-78.6769104,35.7371826
120,-78.6772842,35.7371902
121,-78.6772842,35.7371788
122,-78.6769180,35.7371750
123,-78.6769104,35.7371674
124,-78.6772842,35.7371712
125,-78.6772842,35.7371635
126,-78.6769104,35.7371597
127,-78.6769104,35.7371521
128,-78.6772842,35.7371559
129,-78.6772842,35.7371483
130,-78.6769104,35.7371407
